# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-25
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: c295e5b
# rbxts-transformer-surge: ac69b4d
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	serio	encode	1	3	814357
small flat struct	serio	encode	1	4	817399
small flat struct	serio	encode	1	5	782039
small flat struct	serio	encode	1	6	807158
small flat struct	serio	encode	1	7	794979
small flat struct	serio	encode	1	8	800332
small flat struct	serio	encode	1	9	795543
small flat struct	serio	encode	2	1	819108
small flat struct	serio	encode	2	2	791680
small flat struct	serio	encode	2	3	810624
small flat struct	serio	encode	2	4	827789
small flat struct	serio	encode	2	5	808710
small flat struct	serio	encode	2	6	810258
small flat struct	serio	encode	2	7	820845
small flat struct	serio	encode	2	8	820619
small flat struct	serio	encode	2	9	818657
small flat struct	serio	decode	1	1	1747458
small flat struct	serio	decode	1	2	1721364
small flat struct	serio	decode	1	3	1678005
small flat struct	serio	decode	1	4	1756094
small flat struct	serio	decode	1	5	1735035
small flat struct	serio	decode	1	6	1738901
small flat struct	serio	decode	1	7	1729480
small flat struct	serio	decode	1	8	1734198
small flat struct	serio	decode	1	9	1716119
small flat struct	serio	decode	2	1	1687179
small flat struct	serio	decode	2	2	1732483
small flat struct	serio	decode	2	3	1687169
small flat struct	serio	decode	2	4	1724830
small flat struct	serio	decode	2	5	1750971
small flat struct	serio	decode	2	6	1730543
small flat struct	serio	decode	2	7	1704635
small flat struct	serio	decode	2	8	1735565
small flat struct	serio	decode	2	9	1715956
small flat struct	blink	encode	1	1	2703696
small flat struct	blink	encode	1	2	2701692
small flat struct	blink	encode	1	3	2676906
small flat struct	blink	encode	1	4	2636385
small flat struct	blink	encode	1	5	2336832
small flat struct	blink	encode	1	6	2437731
small flat struct	blink	encode	1	7	2553367
small flat struct	blink	encode	1	8	2627934
small flat struct	blink	encode	1	9	2523500
small flat struct	blink	encode	2	1	2572217
small flat struct	blink	encode	2	2	2221243
small flat struct	blink	encode	2	3	2631075
small flat struct	blink	encode	2	4	2622264
small flat struct	blink	encode	2	5	2461668
small flat struct	blink	encode	2	6	2653860
small flat struct	blink	encode	2	7	2699708
small flat struct	blink	encode	2	8	2605205
small flat struct	blink	encode	2	9	2542197
small flat struct	blink	decode	1	1	3382417
small flat struct	blink	decode	1	2	3183201
small flat struct	blink	decode	1	3	3369921
small flat struct	blink	decode	1	4	3360343
small flat struct	blink	decode	1	5	3250712
small flat struct	blink	decode	1	6	3304252
small flat struct	blink	decode	1	7	3316316
small flat struct	blink	decode	1	8	3307859
small flat struct	blink	decode	1	9	3373433
small flat struct	blink	decode	2	1	3407197
small flat struct	blink	decode	2	2	3240900
small flat struct	blink	decode	2	3	3329179
small flat struct	blink	decode	2	4	3328725
small flat struct	blink	decode	2	5	3339976
small flat struct	blink	decode	2	6	3253350
small flat struct	blink	decode	2	7	3287153
small flat struct	blink	decode	2	8	3261631
small flat struct	blink	decode	2	9	3302380
small flat struct	baseline	encode	1	1	6177438
small flat struct	baseline	encode	1	2	6172815
small flat struct	baseline	encode	1	3	5906156
small flat struct	baseline	encode	1	4	5990474
small flat struct	baseline	encode	1	5	5882697
small flat struct	baseline	encode	1	6	5940855
small flat struct	baseline	encode	1	7	5873808
small flat struct	baseline	encode	1	8	5791918
small flat struct	baseline	encode	1	9	5977120
small flat struct	baseline	encode	2	1	5758307
small flat struct	baseline	encode	2	2	5827413
small flat struct	baseline	encode	2	3	5952821
small flat struct	baseline	encode	2	4	5987150
small flat struct	baseline	encode	2	5	5704196
small flat struct	baseline	encode	2	6	6038605
small flat struct	baseline	encode	2	7	5959896
small flat struct	baseline	encode	2	8	6003201
small flat struct	baseline	encode	2	9	5991266
small flat struct	baseline	decode	1	1	5662149
small flat struct	baseline	decode	1	2	5078174
small flat struct	baseline	decode	1	3	5430533
small flat struct	baseline	decode	1	4	5566108
small flat struct	baseline	decode	1	5	5349708
small flat struct	baseline	decode	1	6	5651203
small flat struct	baseline	decode	1	7	5730064
small flat struct	baseline	decode	1	8	5634107
small flat struct	baseline	decode	1	9	5807705
small flat struct	baseline	decode	2	1	5656162
small flat struct	baseline	decode	2	2	5495588
small flat struct	baseline	decode	2	3	5659689
small flat struct	baseline	decode	2	4	5723172
small flat struct	baseline	decode	2	5	5647452
small flat struct	baseline	decode	2	6	5613638
