# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	blink	encode	2	5	2546903
small flat struct	blink	encode	2	6	2559441
small flat struct	blink	encode	2	7	2526651
small flat struct	blink	encode	2	8	2606160
small flat struct	blink	encode	2	9	2627396
small flat struct	blink	decode	1	1	3293737
small flat struct	blink	decode	1	2	3265966
small flat struct	blink	decode	1	3	3353118
small flat struct	blink	decode	1	4	3369501
small flat struct	blink	decode	1	5	3423266
small flat struct	blink	decode	1	6	3403109
small flat struct	blink	decode	1	7	3293832
small flat struct	blink	decode	1	8	3235289
small flat struct	blink	decode	1	9	3257381
small flat struct	blink	decode	2	1	3105098
small flat struct	blink	decode	2	2	2735126
small flat struct	blink	decode	2	3	3010717
small flat struct	blink	decode	2	4	3328600
small flat struct	blink	decode	2	5	3094788
small flat struct	blink	decode	2	6	3157389
small flat struct	blink	decode	2	7	2936892
small flat struct	blink	decode	2	8	3054294
small flat struct	blink	decode	2	9	3106733
small flat struct	baseline	encode	1	1	6217046
small flat struct	baseline	encode	1	2	5784054
small flat struct	baseline	encode	1	3	5903700
small flat struct	baseline	encode	1	4	6166171
small flat struct	baseline	encode	1	5	6190971
small flat struct	baseline	encode	1	6	6301851
small flat struct	baseline	encode	1	7	6150254
small flat struct	baseline	encode	1	8	6034445
small flat struct	baseline	encode	1	9	6100375
small flat struct	baseline	encode	2	1	6265987
small flat struct	baseline	encode	2	2	6296867
small flat struct	baseline	encode	2	3	6127203
small flat struct	baseline	encode	2	4	5977300
small flat struct	baseline	encode	2	5	6023599
small flat struct	baseline	encode	2	6	5897241
