# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	blink	encode	2	5	2819848
small flat struct	blink	encode	2	6	2741958
small flat struct	blink	encode	2	7	2769799
small flat struct	blink	encode	2	8	2744179
small flat struct	blink	encode	2	9	2698276
small flat struct	blink	decode	1	1	3318065
small flat struct	blink	decode	1	2	3400786
small flat struct	blink	decode	1	3	3394062
small flat struct	blink	decode	1	4	3345454
small flat struct	blink	decode	1	5	3389739
small flat struct	blink	decode	1	6	3318415
small flat struct	blink	decode	1	7	3361310
small flat struct	blink	decode	1	8	3356792
small flat struct	blink	decode	1	9	3387822
small flat struct	blink	decode	2	1	3407154
small flat struct	blink	decode	2	2	3403713
small flat struct	blink	decode	2	3	3424151
small flat struct	blink	decode	2	4	3523533
small flat struct	blink	decode	2	5	3470738
small flat struct	blink	decode	2	6	3432160
small flat struct	blink	decode	2	7	3404990
small flat struct	blink	decode	2	8	3261222
small flat struct	blink	decode	2	9	3427782
small flat struct	baseline	encode	1	1	6317884
small flat struct	baseline	encode	1	2	5800484
small flat struct	baseline	encode	1	3	6159908
small flat struct	baseline	encode	1	4	6324836
small flat struct	baseline	encode	1	5	6263593
small flat struct	baseline	encode	1	6	6251237
small flat struct	baseline	encode	1	7	6264624
small flat struct	baseline	encode	1	8	5634628
small flat struct	baseline	encode	1	9	5979997
small flat struct	baseline	encode	2	1	6302147
small flat struct	baseline	encode	2	2	5795294
small flat struct	baseline	encode	2	3	6023467
small flat struct	baseline	encode	2	4	6187327
small flat struct	baseline	encode	2	5	6147293
small flat struct	baseline	encode	2	6	6213026
small flat struct	baseline	encode	2	7	6135271
small flat struct	baseline	encode	2	8	6245960
small flat struct	baseline	encode	2	9	6136149
small flat struct	baseline	decode	1	1	5653399
small flat struct	baseline	decode	1	2	5752973
small flat struct	baseline	decode	1	3	5696822
small flat struct	baseline	decode	1	4	5782063
small flat struct	baseline	decode	1	5	5665281
small flat struct	baseline	decode	1	6	5431223
small flat struct	baseline	decode	1	7	5806919
small flat struct	baseline	decode	1	8	5724359
small flat struct	baseline	decode	1	9	5741257
small flat struct	baseline	decode	2	1	5899902
small flat struct	baseline	decode	2	2	5889473
small flat struct	baseline	decode	2	3	5871681
small flat struct	baseline	decode	2	4	5860979
small flat struct	baseline	decode	2	5	5762013
small flat struct	baseline	decode	2	6	5843318
small flat struct	baseline	decode	2	7	5841994
small flat struct	baseline	decode	2	8	5301750
small flat struct	baseline	decode	2	9	5662864
deeply nested object	surge	encode	1	1	2445475
deeply nested object	surge	encode	1	2	2415606
deeply nested object	surge	encode	1	3	2415504
deeply nested object	surge	encode	1	4	2420845
deeply nested object	surge	encode	1	5	2431012
deeply nested object	surge	encode	1	6	2387217
deeply nested object	surge	encode	1	7	2416817
deeply nested object	surge	encode	1	8	2435848
deeply nested object	surge	encode	1	9	2393676
deeply nested object	surge	encode	2	1	2364253
deeply nested object	surge	encode	2	2	2379933
deeply nested object	surge	encode	2	3	2435098
deeply nested object	surge	encode	2	4	2410165
deeply nested object	surge	encode	2	5	2420159
deeply nested object	surge	encode	2	6	2412981
deeply nested object	surge	encode	2	7	2374457
deeply nested object	surge	encode	2	8	2411840
deeply nested object	surge	encode	2	9	2439976
deeply nested object	surge	decode	1	1	2381105
deeply nested object	surge	decode	1	2	2437296
deeply nested object	surge	decode	1	3	2467829
deeply nested object	surge	decode	1	4	2468187
deeply nested object	surge	decode	1	5	2494027
deeply nested object	surge	decode	1	6	2453427
deeply nested object	surge	decode	1	7	2483409
deeply nested object	surge	decode	1	8	2482378
deeply nested object	surge	decode	1	9	2436802
deeply nested object	surge	decode	2	1	2540828
deeply nested object	surge	decode	2	2	2544238
deeply nested object	surge	decode	2	3	2493705
deeply nested object	surge	decode	2	4	2530464
deeply nested object	surge	decode	2	5	2527332
deeply nested object	surge	decode	2	6	2550802
deeply nested object	surge	decode	2	7	2497403
