# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	blink	encode	2	5	2527762
small flat struct	blink	encode	2	6	2454120
small flat struct	blink	encode	2	7	2515431
small flat struct	blink	encode	2	8	2554046
small flat struct	blink	encode	2	9	2516183
small flat struct	blink	decode	1	1	3279751
small flat struct	blink	decode	1	2	2928153
small flat struct	blink	decode	1	3	3365023
small flat struct	blink	decode	1	4	3393728
small flat struct	blink	decode	1	5	3403600
small flat struct	blink	decode	1	6	3342495
small flat struct	blink	decode	1	7	3270923
small flat struct	blink	decode	1	8	3384538
small flat struct	blink	decode	1	9	3307202
small flat struct	blink	decode	2	1	3298090
small flat struct	blink	decode	2	2	3394674
small flat struct	blink	decode	2	3	3352006
small flat struct	blink	decode	2	4	3333720
small flat struct	blink	decode	2	5	2893309
small flat struct	blink	decode	2	6	3264248
small flat struct	blink	decode	2	7	3306030
small flat struct	blink	decode	2	8	3340850
small flat struct	blink	decode	2	9	3336294
small flat struct	baseline	encode	1	1	6034861
small flat struct	baseline	encode	1	2	5752109
small flat struct	baseline	encode	1	3	6040827
small flat struct	baseline	encode	1	4	6133207
small flat struct	baseline	encode	1	5	6193719
small flat struct	baseline	encode	1	6	6200890
small flat struct	baseline	encode	1	7	6068729
small flat struct	baseline	encode	1	8	6212330
small flat struct	baseline	encode	1	9	6148513
small flat struct	baseline	encode	2	1	5398564
small flat struct	baseline	encode	2	2	5741105
small flat struct	baseline	encode	2	3	5179969
small flat struct	baseline	encode	2	4	5581908
small flat struct	baseline	encode	2	5	5853498
small flat struct	baseline	encode	2	6	5945786
small flat struct	baseline	encode	2	7	5694772
small flat struct	baseline	encode	2	8	5556208
small flat struct	baseline	encode	2	9	5723669
small flat struct	baseline	decode	1	1	5301152
small flat struct	baseline	decode	1	2	4699861
small flat struct	baseline	decode	1	3	5701973
small flat struct	baseline	decode	1	4	5603061
small flat struct	baseline	decode	1	5	5771002
small flat struct	baseline	decode	1	6	5456004
small flat struct	baseline	decode	1	7	5604227
small flat struct	baseline	decode	1	8	5604378
small flat struct	baseline	decode	1	9	5472549
small flat struct	baseline	decode	2	1	5188384
small flat struct	baseline	decode	2	2	5414691
small flat struct	baseline	decode	2	3	5433527
small flat struct	baseline	decode	2	4	5417221
small flat struct	baseline	decode	2	5	4910364
small flat struct	baseline	decode	2	6	5425865
small flat struct	baseline	decode	2	7	5307978
small flat struct	baseline	decode	2	8	5437326
small flat struct	baseline	decode	2	9	5412265
deeply nested object	surge	encode	1	1	3530369
deeply nested object	surge	encode	1	2	3578217
deeply nested object	surge	encode	1	3	3331248
deeply nested object	surge	encode	1	4	3557684
deeply nested object	surge	encode	1	5	3506856
deeply nested object	surge	encode	1	6	3478585
deeply nested object	surge	encode	1	7	3357077
deeply nested object	surge	encode	1	8	3442142
deeply nested object	surge	encode	1	9	3458719
deeply nested object	surge	encode	2	1	3355544
deeply nested object	surge	encode	2	2	3443561
deeply nested object	surge	encode	2	3	3391873
deeply nested object	surge	encode	2	4	3371898
deeply nested object	surge	encode	2	5	3342797
deeply nested object	surge	encode	2	6	3359115
deeply nested object	surge	encode	2	7	3401745
deeply nested object	surge	encode	2	8	3430826
deeply nested object	surge	encode	2	9	3363049
deeply nested object	surge	decode	1	1	2409437
deeply nested object	surge	decode	1	2	2447817
deeply nested object	surge	decode	1	3	2298948
deeply nested object	surge	decode	1	4	2342764
deeply nested object	surge	decode	1	5	2264495
deeply nested object	surge	decode	1	6	2329478
deeply nested object	surge	decode	1	7	2254342
deeply nested object	surge	decode	1	8	2332259
deeply nested object	surge	decode	1	9	2421700
deeply nested object	surge	decode	2	1	2375127
deeply nested object	surge	decode	2	2	2394861
deeply nested object	surge	decode	2	3	2439885
deeply nested object	surge	decode	2	4	2445266
deeply nested object	surge	decode	2	5	2408454
deeply nested object	surge	decode	2	6	2408883
deeply nested object	surge	decode	2	7	2421763
deeply nested object	surge	decode	2	8	2414244
deeply nested object	surge	decode	2	9	2418997
deeply nested object	fbs	encode	1	1	1634458
deeply nested object	fbs	encode	1	2	1543804
deeply nested object	fbs	encode	1	3	1552797
deeply nested object	fbs	encode	1	4	1612274
deeply nested object	fbs	encode	1	5	1604045
deeply nested object	fbs	encode	1	6	1572300
deeply nested object	fbs	encode	1	7	1600513
