# Trials behind speed.md. Written by `mise run bench:speed`; do not edit by hand.
# Date: 2026-09-24
# Roblox: 0.740.19.7400931
# Machine: 12th Gen Intel(R) Core(TM) i9-12900KF, 16 threads, win32 10.0.26200
# Runs: 2, back to back
# surge: 56b6fd5 (uncommitted changes)
# rbxts-transformer-surge: 0710f5d (uncommitted changes)
# roblox-ts: 3.0.0
# @rbxts/flamework-binary-serializer: 0.7.0
# @rbxts/serio: 1.2.7
# Blink: 0.18.8
# Method: 9 trials per cell, each at least 0.2 seconds of calls after 0.1 seconds of warm-up calls, timed in chunks of 250 calls so that the yields between chunks are not in the time; within a row the libraries take turns, one trial each, and 3 idle frames separate one row from the next
fixture	library	half	run	trial	rate
small flat struct	blink	encode	2	5	2594547
small flat struct	blink	encode	2	6	2549649
small flat struct	blink	encode	2	7	2573879
small flat struct	blink	encode	2	8	2595772
small flat struct	blink	encode	2	9	2624815
small flat struct	blink	decode	1	1	3482028
small flat struct	blink	decode	1	2	3392212
small flat struct	blink	decode	1	3	3194475
small flat struct	blink	decode	1	4	3312640
small flat struct	blink	decode	1	5	3377252
small flat struct	blink	decode	1	6	3405198
small flat struct	blink	decode	1	7	3378169
small flat struct	blink	decode	1	8	3438305
small flat struct	blink	decode	1	9	3439955
small flat struct	blink	decode	2	1	3412682
small flat struct	blink	decode	2	2	2985568
small flat struct	blink	decode	2	3	3077667
small flat struct	blink	decode	2	4	3158942
small flat struct	blink	decode	2	5	3198632
small flat struct	blink	decode	2	6	3279787
small flat struct	blink	decode	2	7	3184196
small flat struct	blink	decode	2	8	3338605
small flat struct	blink	decode	2	9	3207975
small flat struct	baseline	encode	1	1	6153113
small flat struct	baseline	encode	1	2	5240029
small flat struct	baseline	encode	1	3	6024063
small flat struct	baseline	encode	1	4	6170849
small flat struct	baseline	encode	1	5	5574679
small flat struct	baseline	encode	1	6	6198943
small flat struct	baseline	encode	1	7	5737907
small flat struct	baseline	encode	1	8	5775736
small flat struct	baseline	encode	1	9	6194241
small flat struct	baseline	encode	2	1	5942261
small flat struct	baseline	encode	2	2	6090897
small flat struct	baseline	encode	2	3	6109957
small flat struct	baseline	encode	2	4	5978583
small flat struct	baseline	encode	2	5	5608744
small flat struct	baseline	encode	2	6	5776362
small flat struct	baseline	encode	2	7	5989845
small flat struct	baseline	encode	2	8	5947325
small flat struct	baseline	encode	2	9	5967387
small flat struct	baseline	decode	1	1	5543678
small flat struct	baseline	decode	1	2	4974719
small flat struct	baseline	decode	1	3	5501030
small flat struct	baseline	decode	1	4	5054459
small flat struct	baseline	decode	1	5	5591494
small flat struct	baseline	decode	1	6	5826125
small flat struct	baseline	decode	1	7	5742155
small flat struct	baseline	decode	1	8	5611120
small flat struct	baseline	decode	1	9	5688483
small flat struct	baseline	decode	2	1	5592810
small flat struct	baseline	decode	2	2	5269181
small flat struct	baseline	decode	2	3	4926978
small flat struct	baseline	decode	2	4	5138121
small flat struct	baseline	decode	2	5	5062973
small flat struct	baseline	decode	2	6	4927154
small flat struct	baseline	decode	2	7	5174270
small flat struct	baseline	decode	2	8	5347418
small flat struct	baseline	decode	2	9	5370181
deeply nested object	surge	encode	1	1	2775835
deeply nested object	surge	encode	1	2	2835557
deeply nested object	surge	encode	1	3	2750941
deeply nested object	surge	encode	1	4	2783995
deeply nested object	surge	encode	1	5	2767208
deeply nested object	surge	encode	1	6	2820331
deeply nested object	surge	encode	1	7	2780319
deeply nested object	surge	encode	1	8	2743125
deeply nested object	surge	encode	1	9	2764182
deeply nested object	surge	encode	2	1	2825463
deeply nested object	surge	encode	2	2	2837748
deeply nested object	surge	encode	2	3	2848088
deeply nested object	surge	encode	2	4	2908854
deeply nested object	surge	encode	2	5	2827435
deeply nested object	surge	encode	2	6	2807243
deeply nested object	surge	encode	2	7	2828346
deeply nested object	surge	encode	2	8	2933234
deeply nested object	surge	encode	2	9	2679855
deeply nested object	surge	decode	1	1	2381812
deeply nested object	surge	decode	1	2	2422580
deeply nested object	surge	decode	1	3	2439586
deeply nested object	surge	decode	1	4	2509851
deeply nested object	surge	decode	1	5	2504389
deeply nested object	surge	decode	1	6	2465291
deeply nested object	surge	decode	1	7	2295986
deeply nested object	surge	decode	1	8	2497184
deeply nested object	surge	decode	1	9	2467614
deeply nested object	surge	decode	2	1	2358223
deeply nested object	surge	decode	2	2	2305719
deeply nested object	surge	decode	2	3	2305362
deeply nested object	surge	decode	2	4	2459903
deeply nested object	surge	decode	2	5	2204370
deeply nested object	surge	decode	2	6	2384216
deeply nested object	surge	decode	2	7	2413534
deeply nested object	surge	decode	2	8	2327180
deeply nested object	surge	decode	2	9	2390472
deeply nested object	fbs	encode	1	1	1637498
deeply nested object	fbs	encode	1	2	1533662
deeply nested object	fbs	encode	1	3	1587910
deeply nested object	fbs	encode	1	4	1493699
deeply nested object	fbs	encode	1	5	1571618
deeply nested object	fbs	encode	1	6	1601580
deeply nested object	fbs	encode	1	7	1535550
deeply nested object	fbs	encode	1	8	1640758
deeply nested object	fbs	encode	1	9	1617589
deeply nested object	fbs	encode	2	1	1599981
deeply nested object	fbs	encode	2	2	1608257
deeply nested object	fbs	encode	2	3	1600727
deeply nested object	fbs	encode	2	4	1634888
deeply nested object	fbs	encode	2	5	1620932
deeply nested object	fbs	encode	2	6	1621711
deeply nested object	fbs	encode	2	7	1617335
deeply nested object	fbs	encode	2	8	1559450
deeply nested object	fbs	encode	2	9	1536821
deeply nested object	fbs	decode	1	1	1554656
deeply nested object	fbs	decode	1	2	1576411
deeply nested object	fbs	decode	1	3	1559446
deeply nested object	fbs	decode	1	4	1550132
deeply nested object	fbs	decode	1	5	1544148
deeply nested object	fbs	decode	1	6	1545302
deeply nested object	fbs	decode	1	7	1493441
deeply nested object	fbs	decode	1	8	1559903
deeply nested object	fbs	decode	1	9	1578666
deeply nested object	fbs	decode	2	1	1494854
deeply nested object	fbs	decode	2	2	1447253
deeply nested object	fbs	decode	2	3	1478406
deeply nested object	fbs	decode	2	4	1522341
deeply nested object	fbs	decode	2	5	1316463
deeply nested object	fbs	decode	2	6	1518601
deeply nested object	fbs	decode	2	7	1513198
deeply nested object	fbs	decode	2	8	1502692
deeply nested object	fbs	decode	2	9	1502384
deeply nested object	serio	encode	1	1	477779
deeply nested object	serio	encode	1	2	474918
deeply nested object	serio	encode	1	3	448693
deeply nested object	serio	encode	1	4	456020
deeply nested object	serio	encode	1	5	454940
deeply nested object	serio	encode	1	6	470737
deeply nested object	serio	encode	1	7	465576
deeply nested object	serio	encode	1	8	473725
deeply nested object	serio	encode	1	9	470156
deeply nested object	serio	encode	2	1	469525
deeply nested object	serio	encode	2	2	470889
deeply nested object	serio	encode	2	3	472367
deeply nested object	serio	encode	2	4	470336
deeply nested object	serio	encode	2	5	474487
deeply nested object	serio	encode	2	6	471335
deeply nested object	serio	encode	2	7	467383
deeply nested object	serio	encode	2	8	451749
deeply nested object	serio	encode	2	9	467489
deeply nested object	serio	decode	1	1	764432
deeply nested object	serio	decode	1	2	755550
deeply nested object	serio	decode	1	3	756885
deeply nested object	serio	decode	1	4	759281
deeply nested object	serio	decode	1	5	755595
deeply nested object	serio	decode	1	6	738708
deeply nested object	serio	decode	1	7	732466
deeply nested object	serio	decode	1	8	751388
deeply nested object	serio	decode	1	9	754477
deeply nested object	serio	decode	2	1	743469
deeply nested object	serio	decode	2	2	729485
deeply nested object	serio	decode	2	3	748120
deeply nested object	serio	decode	2	4	751659
deeply nested object	serio	decode	2	5	735455
deeply nested object	serio	decode	2	6	746112
deeply nested object	serio	decode	2	7	741508
deeply nested object	serio	decode	2	8	750160
deeply nested object	serio	decode	2	9	744904
deeply nested object	blink	encode	1	1	2155095
deeply nested object	blink	encode	1	2	2029689
deeply nested object	blink	encode	1	3	2142455
deeply nested object	blink	encode	1	4	2020720
deeply nested object	blink	encode	1	5	2196418
deeply nested object	blink	encode	1	6	2139434
deeply nested object	blink	encode	1	7	2127026
deeply nested object	blink	encode	1	8	2029481
deeply nested object	blink	encode	1	9	2102376
deeply nested object	blink	encode	2	1	2095521
deeply nested object	blink	encode	2	2	2108618
deeply nested object	blink	encode	2	3	2117282
deeply nested object	blink	encode	2	4	2120826
deeply nested object	blink	encode	2	5	2103499
deeply nested object	blink	encode	2	6	2145681
deeply nested object	blink	encode	2	7	2159136
deeply nested object	blink	encode	2	8	2046946
deeply nested object	blink	encode	2	9	2169079
deeply nested object	blink	decode	1	1	1632554
deeply nested object	blink	decode	1	2	1645638
deeply nested object	blink	decode	1	3	1641206
deeply nested object	blink	decode	1	4	1607357
deeply nested object	blink	decode	1	5	1625286
deeply nested object	blink	decode	1	6	1527455
deeply nested object	blink	decode	1	7	1576720
deeply nested object	blink	decode	1	8	1608415
deeply nested object	blink	decode	1	9	1616842
deeply nested object	blink	decode	2	1	1632500
deeply nested object	blink	decode	2	2	1524420
deeply nested object	blink	decode	2	3	1653552
deeply nested object	blink	decode	2	4	1623308
deeply nested object	blink	decode	2	5	1634176
deeply nested object	blink	decode	2	6	1616186
deeply nested object	blink	decode	2	7	1623554
deeply nested object	blink	decode	2	8	1633248
deeply nested object	blink	decode	2	9	1615741
deeply nested object	baseline	encode	1	1	4498381
deeply nested object	baseline	encode	1	2	4472974
deeply nested object	baseline	encode	1	3	4247801
deeply nested object	baseline	encode	1	4	4403019
deeply nested object	baseline	encode	1	5	4589612
deeply nested object	baseline	encode	1	6	4525784
deeply nested object	baseline	encode	1	7	4335240
deeply nested object	baseline	encode	1	8	4569180
deeply nested object	baseline	encode	1	9	4548956
deeply nested object	baseline	encode	2	1	4541401
deeply nested object	baseline	encode	2	2	4532029
deeply nested object	baseline	encode	2	3	4438180
deeply nested object	baseline	encode	2	4	4577326
deeply nested object	baseline	encode	2	5	4535270
deeply nested object	baseline	encode	2	6	4551028
deeply nested object	baseline	encode	2	7	4613625
deeply nested object	baseline	encode	2	8	4336685
deeply nested object	baseline	encode	2	9	4507223
deeply nested object	baseline	decode	1	1	2734847
deeply nested object	baseline	decode	1	2	2736783
deeply nested object	baseline	decode	1	3	2703260
deeply nested object	baseline	decode	1	4	2718816
deeply nested object	baseline	decode	1	5	2730034
deeply nested object	baseline	decode	1	6	2477442
deeply nested object	baseline	decode	1	7	2714701
deeply nested object	baseline	decode	1	8	2773740
deeply nested object	baseline	decode	1	9	2749387
deeply nested object	baseline	decode	2	1	2652245
deeply nested object	baseline	decode	2	2	2573742
deeply nested object	baseline	decode	2	3	2628477
deeply nested object	baseline	decode	2	4	2632199
deeply nested object	baseline	decode	2	5	2381894
deeply nested object	baseline	decode	2	6	2619764
deeply nested object	baseline	decode	2	7	2631946
deeply nested object	baseline	decode	2	8	2622488
deeply nested object	baseline	decode	2	9	2587517
wide struct	surge	encode	1	1	2176290
wide struct	surge	encode	1	2	2098350
wide struct	surge	encode	1	3	2097038
wide struct	surge	encode	1	4	2139990
wide struct	surge	encode	1	5	2175004
wide struct	surge	encode	1	6	2161636
wide struct	surge	encode	1	7	2160839
wide struct	surge	encode	1	8	2145867
wide struct	surge	encode	1	9	2168488
wide struct	surge	encode	2	1	2159786
wide struct	surge	encode	2	2	2142568
wide struct	surge	encode	2	3	2128351
wide struct	surge	encode	2	4	2099711
wide struct	surge	encode	2	5	2108045
wide struct	surge	encode	2	6	2129477
wide struct	surge	encode	2	7	2105761
wide struct	surge	encode	2	8	2158577
wide struct	surge	encode	2	9	2161223
wide struct	surge	decode	1	1	663230
wide struct	surge	decode	1	2	688308
wide struct	surge	decode	1	3	693181
wide struct	surge	decode	1	4	691867
wide struct	surge	decode	1	5	697792
wide struct	surge	decode	1	6	704610
wide struct	surge	decode	1	7	708467
wide struct	surge	decode	1	8	685307
wide struct	surge	decode	1	9	700904
wide struct	surge	decode	2	1	669905
wide struct	surge	decode	2	2	666592
wide struct	surge	decode	2	3	688473
wide struct	surge	decode	2	4	682328
wide struct	surge	decode	2	5	684028
wide struct	surge	decode	2	6	678533
wide struct	surge	decode	2	7	687154
wide struct	surge	decode	2	8	687289
wide struct	surge	decode	2	9	627387
wide struct	fbs	encode	1	1	664965
wide struct	fbs	encode	1	2	666991
wide struct	fbs	encode	1	3	663932
wide struct	fbs	encode	1	4	664209
wide struct	fbs	encode	1	5	668234
wide struct	fbs	encode	1	6	668489
wide struct	fbs	encode	1	7	670049
wide struct	fbs	encode	1	8	669319
